id,Story,StoryText,user,fun,goal,nonfun
1958,story 1958,"As a User, I want to Do a geo based search so that I can find location - specific data ",User, to Do a geo , find location - specific ,NULL
1959,story 1959,"As a User, I want to See how many times a dataset has been downloaded / commented on so that I can gauge how popular and valuable a dataset is & be more likely to look at it ",User, to See how many , gauge how popular and ,NULL
1960,story 1960,"As a User, I want to Tweet/Fb/G+ about my graph/visualization with a link to the graph & dataset, so that I can tell other people about data / trends I find interesting with a clear visual representation of what i’m referring to ",User, Tweet/Fb/G+ about my graph/visualization , tell other people about ,NULL
1961,story 1961,"As a User, I want to Have a page load rapidly (< 750ms) so that the site is responsive and enjoyable to use",User, to Have a page , the site is responsive ,NULL
1962,story 1962,"As a Customer, I want to Login to my account using card and PIN code, so that I can perform the transactions.",Customer, Login to my account , perform the transactions.,NULL
1963,story 1963,"As a Customer, I want to to check the balance of my bank account, so that I can perform transactions.",Customer, to check the balance , perform ,NULL
1964,story 1964,"As a Customer, I want to to deposit cash in my bank account through ATM, so that I may save my time and perform transactions later.",Customer, to deposit cash in , I may save my ,NULL
1965,story 1965,"As a Customer, I want to to deposit check in my bank account through ATM, so that I may save my time and perform transactions later.",Customer, to deposit check in , I may save my ,NULL
1966,story 1966,"As a Customer, I want to withdraw cash from my bank account through ATM, so that I may save my time.",Customer, withdraw cash from my , I may save my ,NULL
1967,story 1967,"As a Customer, I want to transfer money from my account to another bank account through ATM, so that I may save my time.",Customer, transfer money from my , I may save my ,NULL
1968,story 1968,"As a Customer, I want to logout from my bank account through ATM, so that I may end up my ATM session.",Customer, logout from my bank , I may end up ,NULL
1969,story 1969,"As a house builder, I would like to have a Tractor, so that I can move around things easily.",house builder," to have a Tractor, ", move around things easily.,easily
1970,story 1970,"As a citizen, I would like to have a house with front garden, so that I can enjoy the sun in summer.",citizen, to have a house , enjoy the sun in ,NULL
1971,story 1971,"As an owner, I would like to park it beside the house, protected against the bad weather, so that it will not be ruined.",owner, to park it beside , it will not be ,NULL
1972,story 1972,"As a citizen, I would like to drive a SUV, so that I can load a lot of stuff and drive a bit off-road.",citizen," to drive a SUV, ", load a lot of ,NULL
1973,story 1973,"As a pedestrian, I want to have a bridge, so that I can easily cross the river without getting wet.",pedestrian, have a bridge, easily cross the river ,easily
1974,story 1974,"As a citizen, I want to have a Kiosk where I can stop by and have a coffee or and ice-cream, so that I can make my children happy.",citizen, have a Kiosk where , make my children happy.,NULL
1975,story 1975,"As a house builder, I want to have a tower crane, so that I can easily transport material to the high story of a house.",house builder, have a tower crane, easily transport material to ,easily
1976,story 1976,"As a citizen, I would like to have a 2 story house, so that I can have more rooms without having a big piece of land.",citizen, to have a 2 , have more rooms without ,NULL
1977,story 1977,"As a citizen, I would like to take the bus to move around the city, so that I can travel without having to.",citizen, to take the bus , travel without having to.,NULL
1978,story 1978,"As a citizen, I would like to have a covered bus stop with seats, so that also with bad weather would be comfortable to wait for the bus.",citizen, to have a covered , also with bad weather ,NULL
1979,story 1979,"As a UCSD student, I want to be able to log in with my UCSD associated Google account, so that I don’t have to create a new account.",UCSD student, be able to log , I don’t have to ,NULL
1980,story 1980,"As a UCSD student, I want to be able to add classes, so that I can generate a class schedule.",UCSD student, be able to add , generate a class schedule.,NULL
1981,story 1981,"As a UCSD student, I want to be able to generate a schedule with the longest gaps in-between classes, so that I can take longer breaks between classes.",UCSD student, be able to generate , take longer breaks between ,NULL
1982,story 1982,"As a UCSD student, I want to be able to generate a schedule with the shortest gaps in-between classes, so that I have longer blocks of free time for work.",UCSD student, be able to generate , I have longer blocks ,NULL
1983,story 1983,"As a UCSD student, I want to be able to generate a schedule that maximizes the number of days that I have classes, so that my schedule is spread throughout the week.",UCSD student, be able to generate , my schedule is spread ,NULL
1984,story 1984,"As a UCSD student, I want to be able to generate a schedule that minimizes the number of days that I have classes, so that I can have days without classes.",UCSD student, be able to generate , have days without classes.,NULL
1985,story 1985,"As a UCSD student, I want to be able to generate a schedule with the earliest end time, so that I can be done with classes as soon as possible.",UCSD student, be able to generate , be done with classes ,NULL
1986,story 1986,"As a UCSD student, I want to be able to generate a schedule with the latest start time, so that I can sleep in.",UCSD student, be able to generate , sleep ,NULL
1987,story 1987,"As a UCSD student, I want to be able to generate a schedule with the highest average GPA received, so that I can maximize my chances at a successful quarter.",UCSD student, be able to generate , maximize my chances at ,NULL
1988,story 1988,"As a UCSD student, I want to be able to generate a schedule with professors that have the highest RateMyProfessor ratings, so that I can enjoy my classes with the ideal instructors.",UCSD student, be able to generate , enjoy my classes with ,NULL
1989,story 1989,"As a UCSD student, I want to be able to visualize all possible lectures for a class, so that I can change lectures without reading from a list of lecture times.",UCSD student, be able to visualize , change lectures without reading ,NULL
1990,story 1990,"As a UCSD student, I want to be able to visualize all the discussion times for a class, so that I can change discussions without reading from a list of discussion times",UCSD student, be able to visualize , change discussions without reading ,NULL
1991,story 1991,"As a UCSD student, I want to see CAPEs statistics for all my planned classes on one page, so that I can manage my expectations for the quarter.",UCSD student, see CAPEs statistics for , manage my expectations for ,NULL
1992,story 1992,"As a UCSD student, I want to be able to view RateMyProfessor ratings, so that I can decide if this professor is a good fit.",UCSD student, be able to view , decide if this professor ,NULL
1993,story 1993,"As a UCSD student, I want to be able to add recurring events to my schedule, so that there are no time conflicts between school and personal engagements.",UCSD student, be able to add , there are no time ,NULL
1994,story 1994,"As a UCSD student, I want to be able to add friends, so that I can choose who to share my schedule with.",UCSD student, be able to add , choose who to share ,NULL
1995,story 1995,"As a UCSD student, I want to be able to remove friends, so that I can limit access to my schedule.",UCSD student, be able to remove , limit access to my ,NULL
1996,story 1996,"As a UCSD student, I want to be able to view my friend’s schedule, so that I know what classes they are taking.",UCSD student, be able to view , I know what classes ,NULL
1997,story 1997,"As a UCSD student, I want to be able to view course descriptions, so that I don’t have to navigate to other sites to figure out what each course entails.",UCSD student, be able to view , I don’t have to ,NULL
1998,story 1998,"As a UCSD student, I want to be able to block a professor or section, so that I can avoid professors or times that I do not want to attend.",UCSD student, be able to block , avoid professors or times ,NULL
1999,story 1999,"As a UCSD student, I want to be able to lock an event, so that any new schedules generated.",UCSD student, be able to lock , any new schedules generated.,NULL
2000,story 2000,"As a user, I want to be able to create a trip, so that I can plan a future trip.",user, be able to create , plan a future trip.,NULL
2001,story 2001,"As a user, I want to be able to add city packages to my trip, so that I can plan events in specific cities.",user, be able to add , plan events in specific ,NULL
2002,story 2002,"As a user, I want to be able to delete a trip, so that I can remove not needed trips.",user, be able to delete , remove not needed trips.,NULL
2003,story 2003,"As a user, I want to be able to edit a trip, so that I can make updates to the name or travel dates.",user, be able to edit , make updates to the ,NULL
2004,story 2004,"As a user, I want to be able to download a city package, so that I do not need internet access to use its features.",user, be able to download , I do not need ,NULL
2005,story 2005,"As a user, I want to be able to open a trip, so that I can view the trip details.",user, be able to open , view the trip details.,NULL
2006,story 2006,"As a user, I want to be able to open a city package, so that I can view helpful resources specific to that city.",user, be able to open , view helpful resources specific ,NULL
2007,story 2007,"As a user, I want to be able to uninstall a city package, so that I do not have to waste storage space.",user, be able to uninstall , I do not have ,NULL
2008,story 2008,"As a user, I want to be able to select a point of interest category, so that I can narrow my search for places I want to go.",user, be able to select , narrow my search for ,NULL
2009,story 2009,"As a user, I want to be able to see the details of a point of interest, so that I can see its location, time, and date.",user, be able to see ," see its location, time, ",NULL
2010,story 2010,"As a user, I want to be able to view map of the city, so that I can see all of the points of interest that I have added to my planner.",user, be able to view , see all of the ,NULL
2011,story 2011,"As a user, I want to be able to add events to the planner, so that I can plan out my trip.",user, be able to add , plan out my trip.,NULL
2012,story 2012,"As a user, I want to be able to search for points of interest using a search bar, so that I can find a point of interest that I have in mind already.",user, be able to search , find a point of ,NULL
2013,story 2013,"As a user, I want to be able to view a point of interest on the map, so that I can see exactly where it is in the city. ",user, be able to view , see exactly where it ,NULL
2014,story 2014,"As a user, I want to be able to view a planner containing my events, so that I can organize my trip.",user, be able to view , organize my trip.,NULL
2015,story 2015,"As a user, I want to be able to edit events in the planner, so that I can make updates to the name, location and time of all my events.",user, be able to edit , make updates to the ,NULL
2016,story 2016,"As a user, I want to be able to delete events from my planner, so that I can free up the time for other things.",user, be able to delete , free up the time ,NULL
2017,story 2017,"As a user, I want to be able to convert between units, so that I can understand the varying units in different countries.",user, be able to convert , understand the varying units ,NULL
2018,story 2018,"As a user, I want to be able to view the weather for the city I am in, so that I can dress accordingly.",user, be able to view , dress ,NULL
2019,story 2019,"As a user, I want to see all the tools I have access to, so that I can easily find which one I want to use.",user, see all the tools , easily find which one ,easily
2020,story 2020,"As a user, I want to be able to translate popular words and phrases from my native language to the language of the city, so that I can communicate more effectively.",user, be able to translate , communicate more effectively.,effectively
2021,story 2021,"As a user, I want to be able to view the time for both my hometown and the city I am in, so that I can compare the times.",user, be able to view , compare the times.,NULL
2022,story 2022,"As a user, I want to sign up to create a Sunflower account, so that my progress and information can be saved.",user, sign up to create , my progress and information ,NULL
2023,story 2023,"As a user, I want to log in to my Sunflower account, so I can access the application’s features.",user, log in to my , I can access the ,NULL
2024,story 2024,"As a user, I want to log in to my Sunflower account via my Google account, so I can access the application’s features.",user, log in to my , I can access the ,NULL
2025,story 2025,"As a user, I want to log out of my Sunflower account, so that my account and personal information is secure.",user, log out of my , my account and personal ,NULL
2026,story 2026,"As a user, I want to recover my password, so that I can log into my Sunflower account.",user, recover my password, log into my Sunflower ,NULL
2027,story 2027,"As a user, I want to send a friend request, so I can connect with other users.",user, send a friend request, I can connect with ,NULL
2028,story 2028,"As a user, I want to accept a friend request, so we have mutual access to each other's sunflower count.",user, accept a friend request, we have mutual access ,NULL
2029,story 2029,"As a user, I want to reject a friend request, so we do not have mutual access to each other’s sunflower count.",user, reject a friend request, we do not have ,NULL
2030,story 2030,"As a user, I want to remove a friend, so we no longer have mutual access to each other’s sunflower count.",user, remove a friend, we no longer have ,NULL
2031,story 2031,"As a user, I want to react to another user’s sunflower count, so I can show my praise.",user, react to another user’s , I can show my ,NULL
2032,story 2032,"As a user, I want to unreact to another user’s sunflower count, so I can remove my praise.",user, unreact to another user’s , I can remove my ,NULL
2033,story 2033,"As a user, I want to view the leaderboard, so I can see my sunflower count and how it compares to my friends’.",user, view the leaderboard, I can see my ,NULL
2034,story 2034,"As a user, I want to view my profile, so I can see my account details.",user, view my profile, I can see my ,NULL
2035,story 2035,"As a user, I want to view my session history, so I can see how long I studied for during the past days.",user, view my session history, I can see how ,NULL
2036,story 2036,"As a user, I want to view notifications of friend requests from other users, so I can decide to accept or reject them.",user, view notifications of friend , I can decide to ,NULL
2037,story 2037,"As a user, I want to add a website to my AllowList, so I can interact with the website during a study session in AllowList mode.",user, add a website to , I can interact with ,NULL
2038,story 2038,"As a user, I want to add a website to my BlockList, so I cannot interact with the website during a study session in BlockList mode.",user, add a website to , I cannot interact with ,NULL
2039,story 2039,"As a user, I want to be able to time the study session, so that I can decide how long I want to study for the session.",user, be able to time , decide how long I ,NULL
2040,story 2040,"As a user, I want to be able to start the study session, so that I have distracting websites blocked while I am studying and earn sunflowers.",user, be able to start , I have distracting websites ,NULL
2041,story 2041,"As a user, I want to be able to end the study session, so that distracting websites will no longer be blocked.",user, be able to end , distracting websites will no ,NULL
2042,story 2042,"As a user, I want to be able to pause my study session, so I can take a study break.",user, be able to pause , I can take a ,NULL
2043,story 2043,"As a user, I want to be able to resume my study session after pausing it, so I can continue my study session.",user, be able to resume , I can continue my ,NULL
2044,story 2044,"As an individual user, I want to have an account, so that my session is remembered and my information is saved.",individual user, have an account, my session is remembered ,NULL
2045,story 2045,"As an organization user, I want to have an account, so that my session is remembered and the organization's information is saved.",organization user, have an account, my session is remembered ,NULL
2046,story 2046,"As an individual user, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",individual user, be able to log , use the application.,NULL
2047,story 2047,"As an organization user, I want to be able to log in with my Google/Facebook associated account, so that I can use the application.",organization user, be able to log , use the application.,NULL
2048,story 2048,"As an individual user, I want to continuAs a guest, so that I can use the application.",individual user, continuAs a guest, use the application.,NULL
2049,story 2049,"As an organization user, I want to be able to log out of my account, so that I can keep the organization's information secured.",organization user, be able to log , keep the organization's information ,NULL
2050,story 2050,"As an individual user, I want to be able to log out of my account, so that I can keep my information secured.",individual user, be able to log , keep my information secured.,NULL
2051,story 2051,"As an individual user, I want to be able to create my personal profile, so that I can personalize the application to the organizations and events I'm interested in.",individual user, be able to create , personalize the application to ,NULL
2052,story 2052,"As an organization user, I want to be able to create a profile for my organization, so that individuals can find and connect with my organization.",organization user, be able to create , individuals can find and ,NULL
2053,story 2053,"As an individual user, I want to be able to edit my profile, so that I can personalize the application to the organizations and events I'm interested in.",individual user, be able to edit , personalize the application to ,NULL
2054,story 2054,"As an organization user, I want to be able to edit the profile for my organization, so that individuals can view correct information about my organization.",organization user, be able to edit , individuals can view correct ,NULL
2055,story 2055,"As an individual user, I want to be able to filter organizations by cause, so that I can find organizations with causes that I'm passionate about.",individual user, be able to filter , find organizations with causes ,NULL
2056,story 2056,"As an individual user, I want to be able to filter organizations by distance, so that I can find local organizations to support.",individual user, be able to filter , find local organizations to ,NULL
2057,story 2057,"As an individual user, I want to be able to filter events by skills, so that I can find organizations to support with my skills.",individual user, be able to filter , find organizations to support ,NULL
2058,story 2058,"As an individual user, I want to be able to filter events by distance, so that I can find local organizations to support.",individual user, be able to filter , find local organizations to ,NULL
2059,story 2059,"As an organization user, I want to be able to create event posts, so that individuals can view our events and connect with us.",organization user, be able to create , individuals can view our ,NULL
2060,story 2060,"As an organization user, I want to be able to edit event posts, so that people can receive updated information for our events.",organization user, be able to edit , people can receive updated ,NULL
2061,story 2061,"As an organization user, I want to be able to delete event posts, so that people see only correct and intended event information.",organization user, be able to delete , people see only correct ,NULL
2062,story 2062,"As an individual user, I want to be able to view my personalized news feed, so that I can discover events from organizations that I follow.",individual user, be able to view , discover events from organizations ,NULL
2063,story 2063,"As an organization user, I want to be able to manage my events on my news feed, so that I can edit or delete event posts.",organization user, be able to manage , edit or delete event ,NULL
2064,story 2064,"As an individual user, I want to be able to follow an organization, so that I can see their events on my news feed.",individual user, be able to follow , see their events on ,NULL
2065,story 2065,"As an individual user, I want to be able to unfollow an organization, so that I can remove their events from my news feed.",individual user, be able to unfollow , remove their events from ,NULL
2066,story 2066,"As an individual user, I want to be able to view an organization's information, so that I can learn about their mission and needs.",individual user, be able to view , learn about their mission ,NULL
2067,story 2067,"As an individual user, I want to be able to view an event's information, so that I can see if I can help out.",individual user, be able to view , see if I can ,NULL
2068,story 2068,"As a User, Have an account, so I can use SHOTS and have my information be secure.",User,NULL, I can use SHOTS ,NULL
2069,story 2069,"As a User, Be able to edit my account settings, so I can change them if necessary.",User,NULL, I can change them ,NULL
2070,story 2070,"As a User, Be able to begin a journey, so I can capture my night out.",User,NULL, I can capture my ,NULL
2071,story 2071,"As a User, Track my live location and path on a map during a journey, so I can geotag the media for the night and have knowledge of where I am.",User,NULL, I can geotag the ,NULL
2072,story 2072,"As a User, Be able to easily record geotagged media in my journey, so I can review these moments later or share them with friends .",User,NULL, I can review these ,easily
2073,story 2073,"As a User, Be able to end my current journey and have the option to save it as memory, so I can group together chains of experiences and share them.",User,NULL, I can group together ,NULL
2074,story 2074,"As a User, Be able to review past memories, so I can review the moments from them.",User,NULL, I can review the ,NULL
2075,story 2075,"As a User, Be able to choose to hide or show certain moments in my memories, so I have control over the moments that my friends will be able to see.",User,NULL, I have control over ,NULL
2076,story 2076,"As a User, Be able to add friends in the app, so I can go on journeys with them later.",User,NULL, I can go on ,NULL
2077,story 2077,"As a User, Be able to remove friends in the app, so I have control over who my friends are and who views my media.",User,NULL, I have control over ,NULL
2078,story 2078,"As a User, Be able to share my memories, so My friends can see what I’ve done.",User,NULL, My friends can see ,NULL
2079,story 2079,"As a User, Be able to view a friend’s profile, so I can view their current journey and their top memories.",User,NULL, I can view their ,NULL
2080,story 2080,"As a User, View the moments of my friends’ current journeys, so I live vicariously through them.",User,NULL, I live vicariously through ,NULL
2081,story 2081,"As a User, Be able to create a squad and invite my friends, so  They can be a part of my journey.",User,NULL,  They can be ,NULL
2082,story 2082,"As a User, Be able to join my friends’ squad, so I can be a part of a combined journey.",User,NULL, I can be a ,NULL
2083,story 2083,"As a User, Be able to choose to accept or reject an invitation to a squad, so I have control over joining a squad.",User,NULL, I have control over ,NULL
2084,story 2084,"As a User, See the location of my squad members, so I can find them if necessary.",User,NULL, I can find them ,NULL
2085,story 2085,"As a User, To be able to message my squad, so I can communicate with the squad .",User,NULL, I can communicate with ,NULL
2086,story 2086,"As a User, Set up a meeting point for my squad, so The squad can rendezvous.",User,NULL, The squad can rendezvous.,NULL
2087,story 2087,"As a User, Be able to notify my squad in an emergency, so They will be able to help.",User,NULL, They will be able ,NULL
2088,story 2088,"As a User, Be able to swiftly call an Uber from my current location to my home address, so I can get back home safely.",User,NULL, I can get back ,NULL
2089,story 2089,"As a user, I want to be able to sign up for an account in the system, so that I can log in using the registered account later.",user, be able to sign , log in using the ,NULL
2090,story 2090,"As a user, I want to be able to log in with the account I signed up for in the system",user, to be able to ,NULL,NULL
2091,story 2091,"As a user, I want a way to recover my password when I forgot my log in password",user, a way to recover ,NULL,NULL
2092,story 2092,"As a user, I want to update my user profile, so that it reflects my most updated personal information",user, update my user profile, it reflects my most ,most
2093,story 2093,"As a user, I want to update my weight.",user, to update my weight.,NULL,NULL
2094,story 2094,"As a user, I want to see my weight history, so that I can see my past body weight information",user, see my weight history, see my past body ,NULL
2095,story 2095,"As a user, I want to have the option to be prompted to enter my weight in case I forget.",user, to have the option ,NULL,NULL
2096,story 2096,"As a user, I want to remove meal from my meal calendar.",user, to remove meal from ,NULL,NULL
2097,story 2097,"As a user, I want to add meal from my meal calendar",user, to add meal from ,NULL,NULL
2098,story 2098,"As a user, I want to edit meal from my meal calendar, so that I can change to a different meal.",user, edit meal from my , change to a different ,NULL
2099,story 2099,"As a user, I want to save meal in meal book, so that I can re-select my saved meal later.",user, save meal in meal , re-select my saved meal ,NULL
2100,story 2100,"As a user, I want to edit meal from meal book, so that I can update my previous saved meal.",user, edit meal from meal , update my previous saved ,NULL
2101,story 2101,"As a user, I want to remove meal from the meal book.",user, to remove meal from ,NULL,NULL
2102,story 2102,"As a user, I want to add food item(s) to grocery list, so that I can print it later and shop.",user, add food item(s) to , print it later and ,NULL
2103,story 2103,"As a user, I want to remove food item(s) to grocery list.",user, to remove food item(s) ,NULL,NULL
2104,story 2104,"As a user, I want to add food item into the system, so that I can use for later.",user, add food item into , use for later.,NULL
2105,story 2105,"As a user, I want to update food item, so that it reflects the update information about the food item.",user, update food item, it reflects the update ,NULL
2106,story 2106,"As a user, I want to add food item in meal, so that I can update my own meal.",user, add food item in , update my own meal.,NULL
2107,story 2107,"As a user, I want to remove food item from meal, so that my meal gets updated.",user, remove food item from , my meal gets updated.,NULL
2108,story 2108,"As a user, I want to create meal automatically, so that I do not need to worry about it myself.",user, create meal automatically, I do not need ,NULL
2109,story 2109,"As a user, I want to see meal details, so that I can check what food items and quantities about the meal.",user, see meal details, check what food items ,NULL
2110,story 2110,"As a user, I want to see my meal calendar, so that I can check what / have planned to eat.",user, see my meal calendar, check what / have ,NULL
2111,story 2111,"As a user, I want to generate grocery list from planned meal(s), so that I can go shop for the foods I need for the up coming week.",user, generate grocery list from , go shop for the ,NULL
2112,story 2112,"As a user, I want to view my account's profile, so that I can check my personal information.",user, view my account's profile, check my personal information.,NULL
2113,story 2113,"As a user, I want to view my meal book, so I can check what meals I had created.",user, view my meal book, I can check what ,NULL
2114,story 2114,"As a user, I want to view a food library that contains all the food items.",user, to view a food ,NULL,NULL
2115,story 2115,"As a user, I want to view my grocery list, so I can check what to buy.",user, view my grocery list, I can check what ,NULL
2116,story 2116,"As a user, I want to create my own meal with the foods / choose.",user, to create my own ,NULL,NULL
2117,story 2117,"As a user, I want to be able to log out.",user, to be able to ,NULL,NULL
2118,story 2118,"As a user, I want to have facebook like button, so I could like this web app.",user, have facebook like button, I could like this ,NULL
2119,story 2119,"As a user, I want to have a twitter button, so I can share this web app link on my twitter.",user, have a twitter button, I can share this ,NULL
2120,story 2120,"As a user, I want to see health and food related inspirational quotations on the home page.",user, to see health and ,NULL,NULL
2121,story 2121,"As a user, I want to view food item pictures in the food library.",user, to view food item ,NULL,NULL
2122,story 2122,"As a user, I want to have a mobile view of the web app, so I can access it on my mobile device.",user, have a mobile view , I can access it ,NULL
2123,story 2123,"As a user, I want to see a slideshow of nice food pictures on the home.",user, to see a slideshow ,NULL,NULL
2124,story 2124,"As a user, I want the web app be able to provide portion suggestion for each of the food items when I create a meal.",user, the web app be ,NULL,NULL
2125,story 2125,"As a user, I want to see an About Us page to know more details about the web app.",user, to see an About ,NULL,NULL
2126,story 2126,"As an Editor, I want to save document in a file, so that users can open the document for further editing or review.",Editor, save document in a , users can open the ,NULL
2127,story 2127,"As an Architect, I want to save a document as a template file, so that I can reuse the document structure and configuration of custom attributes for new documents.",Architect, save a document as , reuse the document structure ,NULL
2128,story 2128,"As an Editor, I want to automatically persist my changes, so that I do not lose my changes if the tool is unexpectedly terminated before saving into a file.",Editor, automatically persist my changes, I do not lose ,NULL
2129,story 2129,"As an Editor, I want to specify requirements by a textual description, so that the requirements can be reviewed by other users..",Editor, specify requirements by a , the requirements can be ,NULL
2130,story 2130,"As an Editor, I want to identify requirements by their unique ID, so that I can reference requirements from other documents or communication.",Editor, identify requirements by their , reference requirements from other ,NULL
2131,story 2131,"As an Editor, I want to organize requirements in a tree document hierarchy with numbered sections, so that I can easily navigate in the document structure.",Editor, organize requirements in a , easily navigate in the ,easily
2132,story 2132,"As an Editor, I want to display a table of requirements, so that I can review all requirements information in a single view.",Editor, display a table of , review all requirements information ,NULL
2133,story 2133,"As an Editor, I want to display all information about the selected requirement, so that I can display details about any requirement which are not visible in the requirements table.",Editor, display all information about , display details about any ,NULL
2134,story 2134,"As an Editor, I want to attach images and other documents to requirements, so that I can enhance textual requirements with visual content such as mockups, diagrams, etc..",Editor, attach images and other , enhance textual requirements with ,NULL
2135,story 2135,"As an Editor, I want to order requirements by a chosen custom attribute, so that I can display requirements, sorted by priority, risk, effort, etc..",Editor, order requirements by a ," display requirements, sorted by ",NULL
2136,story 2136,"As an Architect, I want to define additional requirements attributes, so that the document can flexibly store additional requirement properties, such as requirement, source, priority, status, etc..",Architect, define additional requirements attributes, the document can flexibly ,proper
2137,story 2137,"As an Editor, I want to set a value of a chosen custom attribute for one or more selected requirements, so that I can define additional requirements properties, such as requirements, source, prioritize requirements, manage requirement status, define acceptance criteria, etc..",Editor, set a value of ," define additional requirements properties, ",proper
2138,story 2138,"As an Architect, I want to define types of relationships between requirements, so that users can perform traceability analysis for a chosen group of links.",Architect, define types of relationships , users can perform traceability ,NULL
2139,story 2139,"As an Editor, I want to link related requirements, so that I can analyze requirements coverage, gap in requirements and impact of requirement changes..",Editor, link related requirements," analyze requirements coverage, gap ",NULL
2140,story 2140,"As an Editor, I want to filter requirements, so that I can identify and manipulate requirements matching a condition.",Editor, filter , identify and manipulate requirements ,NULL
2141,story 2141,"As an Editor, I want to find keywords, so that I can identify and manipulate requirements containing the searched keyword(s).",Editor, find , identify and manipulate requirements ,NULL
2142,story 2142,"As a Reviewer, I want to comment requirements, so that I can provide feedback during requirements review.",Reviewer, comment , provide feedback during requirements ,NULL
2143,story 2143,"As a Reviewer, I want to trace related requirements, so that I can perform coverage, gap and change impact analysis.",Reviewer, trace related requirements," perform coverage, gap and ",NULL
2144,story 2144,"As a Reviewer, I want to print a document view, so that I can review requirements without the need to run the tool.",Reviewer, print a document view, review requirements without the ,NULL
2145,story 2145,"As an Editor, I want to list all requirement changes, so that I can understand how the requirement evolved in time.",Editor, list all requirement changes, understand how the requirement ,NULL
2146,story 2146,"As a Reviewer, I want to generate a traceability report, so that I can analyze coverage, gaps and impact of requirements changes.",Reviewer, generate a traceability report," analyze coverage, gaps and ",NULL
2147,story 2147,"As an Editor, I want to import a requirements specification from a MS Word document, so that I can reuse existing requirements specifications or other structured documents.",Editor, import a requirements specification , reuse existing requirements specifications ,NULL
2148,story 2148,"As an Editor, I want to import requirements from a MS Excel spreadsheet, so that I can import or update list of requirements.",Editor, import requirements from a , import or update list ,NULL
2149,story 2149,"As an Editor, I want to to export structured requirements specification to MS Word, so that I can share requirements specifications with users without the tool.",Editor, to export structured requirements , share requirements specifications with ,NULL
2150,story 2150,"As an Editor, I want to export filtered list of requirements to MS Excel, so that I can reuse or update requirements in another application.",Editor, export filtered list of , reuse or update requirements ,NULL
2151,story 2151,"As an Editor, I want to quickly start the tool, so that I do not need to wait long time for editing a project.",Editor, quickly start the tool, I do not need ,quickly
2152,story 2152,"As an Editor, I want to edit effectively requirements in large documents, so that I can work without waiting for tool responses.",Editor, edit effectively requirements in , work without waiting for ,effectively
2153,story 2153,"As an Editor, I want to create large requirements specifications, so that I can capture all requirements in a single document even for complex system development projects.",Editor, create large requirements specifications, capture all requirements in ,NULL
2154,story 2154,"As an Editor, I want to store confidential information in the tool, so that I can be sure that no confidential information is sent to the Internet or is compromised by an unauthorized application.",Editor, store confidential information in , be sure that no ,NULL
2155,story 2155,"As an Editor, I want to run the tool in a browser, so that I run the tool on my computer running Windows, Linux or Mac operating system without a need to install it.",Editor, run the tool in , I run the tool ,NULL
2156,story 2156,"As an Acquisition Gateway User, I need to select an Auction product in the Acquisition ordering platform, so that I can bid on it.",Acquisition Gateway User,NULL, bid on it.,NULL
2157,story 2157,"As an Acquisition Gateway User, I need to review my previous bids in the Acquisition ordering platform, so that I can remove expired bids.",Acquisition Gateway User,NULL, remove expired bids.,NULL
2158,story 2158,"As a Content Owner, I want to be able to create product content, so that I can provide information and market to customers.",Content Owner, be able to create , provide information and market ,NULL
2159,story 2159,"As an Editor, I want to review content before it is published, so that I can assure it is optimized with correct grammar and tone.",Editor, review content before it , assure it is optimized ,optimize
2160,story 2160,"As an EBC Requester, I want to know what catalog of services GSA IT offers, so that I can determine if an existing platform can support my proposed project.",EBC Requester, know what catalog of , determine if an existing ,NULL
2161,story 2161,"As an EBC Requester, I want to have a checklist of outputs, so that I can submit a complete EBC request.",EBC Requester, have a checklist of , submit a complete EBC ,NULL
2162,story 2162,"As a HR Manager, I need to view a candidate’s status, so that I can manage their application process throughout the recruiting phases.",HR Manager,NULL, manage their application process ,NULL
2163,story 2163,"As a Marketing Data Analyst, I need to run the Salesforce & Google analytics reports the, so that I can build the monthly media campaign plans.",Marketing Data Analyst,NULL, build the monthly media ,NULL
2164,story 2164,"As a User, I want to see the dataset information in a grid / table (spreadsheet-like) view, so that I can see what is in this dataset.",User, see the dataset information , see what is in ,NULL
2165,story 2165,"As a User, I want to create a line chart based on the raw data in this dataset, so that I can better understand the data.",User, create a line chart , better understand the data.,better
2166,story 2166,"As a User, I want to apply a filter on a specific field, so that only records matching that filter are displayed.",User, apply a filter on , only records matching that ,NULL
2167,story 2167,"As a User, I want to apply a geospatial filter (that is only show records within a certain distance of a given point), so that I only see records matching that criteria.",User, apply a geospatial filter , I only see records ,NULL
2168,story 2168,"As a User, I want to save the current view I have created by configuring the Data Explorer (using a wizard etc), so that I can find it again later and share it with others.",User, save the current view , find it again later ,NULL
2169,story 2169,"As a dataset owner, I want to pre-configure one relevant views to my dataset (e.g. meaningful graph, hid the map view,...), so that other users when viewing this data resource see this data explorer in this state.",dataset owner, pre-configure one relevant views , other users when viewing ,NULL
2170,story 2170,"As a Data customer, I want to have the 12-19-2017 deletions processed.",Data customer, to have the 12-19-2017 ,NULL,NULL
2171,story 2171,"As a Data client, I want to have the 12-19-2017 deletions processed.",Data client, to have the 12-19-2017 ,NULL,NULL
2172,story 2172,"As a Data end user, I want to have the 12-19-2017 deletions processed.",Data end user, to have the 12-19-2017 ,NULL,NULL
